,,,,Total,Hombre,Mujer,No especificado
08 032,Hidalgo del Parral,2022,Junio,3,3,,
08 032,Hidalgo del Parral,2022,Julio,4,4,,
08 032,Hidalgo del Parral,2022,Agosto,3,2,1,
08 032,Hidalgo del Parral,2022,Septiembre,4,4,,
08 032,Hidalgo del Parral,2022,Octubre,1,1,,
08 034,Ignacio Zaragoza,Total,Total,9,7,2,
08 034,Ignacio Zaragoza,Total,Enero,4,3,1,
08 034,Ignacio Zaragoza,Total,Febrero,2,1,1,
08 034,Ignacio Zaragoza,Total,Junio,1,1,,
08 034,Ignacio Zaragoza,Total,Octubre,2,2,,
08 034,Ignacio Zaragoza,2022,Total,9,7,2,
08 034,Ignacio Zaragoza,2022,Enero,4,3,1,
08 034,Ignacio Zaragoza,2022,Febrero,2,1,1,
08 034,Ignacio Zaragoza,2022,Junio,1,1,,
08 034,Ignacio Zaragoza,2022,Octubre,2,2,,
08 035,Janos,Total,Total,7,7,,
08 035,Janos,Total,Abril,5,5,,
08 035,Janos,Total,Junio,1,1,,
08 035,Janos,Total,Julio,1,1,,
08 035,Janos,2022,Total,7,7,,
08 035,Janos,2022,Abril,5,5,,
08 035,Janos,2022,Junio,1,1,,
08 035,Janos,2022,Julio,1,1,,
08 036,Jiménez,Total,Total,3,3,,
08 036,Jiménez,Total,Junio,1,1,,
08 036,Jiménez,Total,Julio,1,1,,
08 036,Jiménez,Total,Septiembre,1,1,,
08 036,Jiménez,2022,Total,3,3,,
08 036,Jiménez,2022,Junio,1,1,,
08 036,Jiménez,2022,Julio,1,1,,
08 036,Jiménez,2022,Septiembre,1,1,,
08 037,Juárez,Total,Total,"1,087",951,136,
08 037,Juárez,Total,Enero,79,68,11,
08 037,Juárez,Total,Febrero,86,73,13,
08 037,Juárez,Total,Marzo,69,63,6,
08 037,Juárez,Total,Abril,67,58,9,
08 037,Juárez,Total,Mayo,111,100,11,
08 037,Juárez,Total,Junio,92,78,14,
08 037,Juárez,Total,Julio,118,103,15,
08 037,Juárez,Total,Agosto,120,104,16,
08 037,Juárez,Total,Septiembre,95,81,14,
08 037,Juárez,Total,Octubre,107,95,12,
08 037,Juárez,Total,Noviembre,79,69,10,
08 037,Juárez,Total,Diciembre,62,57,5,
08 037,Juárez,Total,No especificado,2,2,,
08 037,Juárez,2021,Total,5,5,,
08 037,Juárez,2021,Mayo,1,1,,
08 037,Juárez,2021,Junio,3,3,,
08 037,Juárez,2021,Agosto,1,1,,
08 037,Juárez,2022,Total,"1,080",944,136,
08 037,Juárez,2022,Enero,79,68,11,
08 037,Juárez,2022,Febrero,86,73,13,
08 037,Juárez,2022,Marzo,69,63,6,
08 037,Juárez,2022,Abril,67,58,9,
08 037,Juárez,2022,Mayo,110,99,11,
08 037,Juárez,2022,Junio,89,75,14,
08 037,Juárez,2022,Julio,118,103,15,
08 037,Juárez,2022,Agosto,119,103,16,
08 037,Juárez,2022,Septiembre,95,81,14,
08 037,Juárez,2022,Octubre,107,95,12,
08 037,Juárez,2022,Noviembre,79,69,10,
08 037,Juárez,2022,Diciembre,62,57,5,
08 037,Juárez,No especificado,Total,2,2,,
08 037,Juárez,No especificado,No especificado,2,2,,
08 039,López,Total,Total,1,1,,
08 039,López,Total,Enero,1,1,,
08 039,López,2022,Total,1,1,,
08 039,López,2022,Enero,1,1,,
08 040,Madera,Total,Total,23,22,1,
08 040,Madera,Total,Enero,1,1,,
08 040,Madera,Total,Febrero,1,1,,
08 040,Madera,Total,Marzo,1,1,,
08 040,Madera,Total,Junio,4,4,,
08 040,Madera,Total,Julio,1,1,,
08 040,Madera,Total,Agosto,1,1,,
08 040,Madera,Total,Septiembre,4,4,,
08 040,Madera,Total,Octubre,3,3,,
08 040,Madera,Total,Noviembre,2,2,,
08 040,Madera,Total,Diciembre,5,4,1,
08 040,Madera,2022,Total,23,22,1,
08 040,Madera,2022,Enero,1,1,,
08 040,Madera,2022,Febrero,1,1,,
08 040,Madera,2022,Marzo,1,1,,
08 040,Madera,2022,Junio,4,4,,
08 040,Madera,2022,Julio,1,1,,
08 040,Madera,2022,Agosto,1,1,,
08 040,Madera,2022,Septiembre,4,4,,
08 040,Madera,2022,Octubre,3,3,,
08 040,Madera,2022,Noviembre,2,2,,
08 040,Madera,2022,Diciembre,5,4,1,
08 041,Maguarichi,Total,Total,2,2,,
08 041,Maguarichi,Total,Noviembre,2,2,,
08 041,Maguarichi,2020,Total,1,1,,
08 041,Maguarichi,2020,Noviembre,1,1,,
08 041,Maguarichi,2022,Total,1,1,,
08 041,Maguarichi,2022,Noviembre,1,1,,
08 044,Matamoros,Total,Total,1,1,,
08 044,Matamoros,Total,Mayo,1,1,,
08 044,Matamoros,2022,Total,1,1,,
08 044,Matamoros,2022,Mayo,1,1,,
08 045,Meoqui,Total,Total,11,10,1,
08 045,Meoqui,Total,Marzo,2,1,1,
08 045,Meoqui,Total,Abril,1,1,,
08 045,Meoqui,Total,Junio,1,1,,
08 045,Meoqui,Total,Julio,2,2,,
08 045,Meoqui,Total,Agosto,1,1,,
08 045,Meoqui,Total,Septiembre,2,2,,
08 045,Meoqui,Total,Octubre,2,2,,
08 045,Meoqui,2022,Total,11,10,1,
08 045,Meoqui,2022,Marzo,2,1,1,
08 045,Meoqui,2022,Abril,1,1,,
08 045,Meoqui,2022,Junio,1,1,,
08 045,Meoqui,2022,Julio,2,2,,
08 045,Meoqui,2022,Agosto,1,1,,
08 045,Meoqui,2022,Septiembre,2,2,,
08 045,Meoqui,2022,Octubre,2,2,,
08 046,Morelos,Total,Total,2,2,,
08 046,Morelos,Total,Octubre,2,2,,
08 046,Morelos,2022,Total,2,2,,
08 046,Morelos,2022,Octubre,2,2,,
08 047,Moris,Total,Total,9,9,,
08 047,Moris,Total,Febrero,1,1,,
08 047,Moris,Total,Mayo,1,1,,
08 047,Moris,Total,Junio,2,2,,
08 047,Moris,Total,Julio,5,5,,
08 047,Moris,2020,Total,1,1,,
08 047,Moris,2020,Mayo,1,1,,
08 047,Moris,2021,Total,1,1,,
08 047,Moris,2021,Julio,1,1,,
08 047,Moris,2022,Total,7,7,,
08 047,Moris,2022,Febrero,1,1,,
08 047,Moris,2022,Junio,2,2,,
08 047,Moris,2022,Julio,4,4,,
08 048,Namiquipa,Total,Total,7,7,,
08 048,Namiquipa,Total,Marzo,2,2,,
08 048,Namiquipa,Total,Mayo,3,3,,
08 048,Namiquipa,Total,Octubre,1,1,,
08 048,Namiquipa,Total,Noviembre,1,1,,
08 048,Namiquipa,2021,Total,2,2,,
08 048,Namiquipa,2021,Marzo,1,1,,
08 048,Namiquipa,2021,Noviembre,1,1,,
08 048,Namiquipa,2022,Total,5,5,,
08 048,Namiquipa,2022,Marzo,1,1,,
08 048,Namiquipa,2022,Mayo,3,3,,
08 048,Namiquipa,2022,Octubre,1,1,,
08 049,Nonoava,Total,Total,1,1,,
08 049,Nonoava,Total,Julio,1,1,,
08 049,Nonoava,2022,Total,1,1,,
08 049,Nonoava,2022,Julio,1,1,,
08 050,Nuevo Casas Grandes,Total,Total,4,3,1,
08 050,Nuevo Casas Grandes,Total,Marzo,1,,1,
08 050,Nuevo Casas Grandes,Total,Octubre,1,1,,
08 050,Nuevo Casas Grandes,Total,Noviembre,2,2,,
08 050,Nuevo Casas Grandes,2022,Total,4,3,1,
08 050,Nuevo Casas Grandes,2022,Marzo,1,,1,
08 050,Nuevo Casas Grandes,2022,Octubre,1,1,,
08 050,Nuevo Casas Grandes,2022,Noviembre,2,2,,
08 051,Ocampo,Total,Total,3,3,,
08 051,Ocampo,Total,Marzo,1,1,,
08 051,Ocampo,Total,Mayo,1,1,,
08 051,Ocampo,Total,Noviembre,1,1,,
08 051,Ocampo,2020,Total,1,1,,
08 051,Ocampo,2020,Mayo,1,1,,
08 051,Ocampo,2021,Total,1,1,,
08 051,Ocampo,2021,Noviembre,1,1,,
08 051,Ocampo,2022,Total,1,1,,
08 051,Ocampo,2022,Marzo,1,1,,
08 052,Ojinaga,Total,Total,6,5,1,
08 052,Ojinaga,Total,Febrero,1,,1,
08 052,Ojinaga,Total,Junio,1,1,,
08 052,Ojinaga,Total,Julio,1,1,,
08 052,Ojinaga,Total,Octubre,3,3,,
08 052,Ojinaga,2022,Total,6,5,1,
08 052,Ojinaga,2022,Febrero,1,,1,
08 052,Ojinaga,2022,Junio,1,1,,
08 052,Ojinaga,2022,Julio,1,1,,
08 052,Ojinaga,2022,Octubre,3,3,,
08 053,Praxedis G. Guerrero,Total,Total,2,1,1,
08 053,Praxedis G. Guerrero,Total,Febrero,1,,1,
08 053,Praxedis G. Guerrero,Total,Noviembre,1,1,,
08 053,Praxedis G. Guerrero,2021,Total,1,1,,
08 053,Praxedis G. Guerrero,2021,Noviembre,1,1,,
08 053,Praxedis G. Guerrero,2022,Total,1,,1,
08 053,Praxedis G. Guerrero,2022,Febrero,1,,1,
08 054,Riva Palacio,Total,Total,1,1,,
08 054,Riva Palacio,Total,Agosto,1,1,,
08 054,Riva Palacio,2022,Total,1,1,,
08 054,Riva Palacio,2022,Agosto,1,1,,
08 055,Rosales,Total,Total,7,7,,
08 055,Rosales,Total,Abril,1,1,,
08 055,Rosales,Total,Mayo,2,2,,
08 055,Rosales,Total,Junio,2,2,,
08 055,Rosales,Total,Julio,1,1,,
08 055,Rosales,Total,Octubre,1,1,,
08 055,Rosales,2022,Total,7,7,,
08 055,Rosales,2022,Abril,1,1,,
08 055,Rosales,2022,Mayo,2,2,,
08 055,Rosales,2022,Junio,2,2,,
08 055,Rosales,2022,Julio,1,1,,
08 055,Rosales,2022,Octubre,1,1,,
08 056,Rosario,Total,Total,1,1,,
08 056,Rosario,Total,Septiembre,1,1,,
08 056,Rosario,2022,Total,1,1,,
08 056,Rosario,2022,Septiembre,1,1,,
08 059,San Francisco del Oro,Total,Total,3,3,,
08 059,San Francisco del Oro,Total,Agosto,1,1,,
08 059,San Francisco del Oro,Total,Diciembre,2,2,,
08 059,San Francisco del Oro,2022,Total,3,3,,
08 059,San Francisco del Oro,2022,Agosto,1,1,,
08 059,San Francisco del Oro,2022,Diciembre,2,2,,
08 060,Santa Bárbara,Total,Total,4,3,1,
08 060,Santa Bárbara,Total,Febrero,1,1,,
08 060,Santa Bárbara,Total,Marzo,1,,1,
08 060,Santa Bárbara,Total,Mayo,1,1,,
08 060,Santa Bárbara,Total,Septiembre,1,1,,
08 060,Santa Bárbara,2022,Total,4,3,1,
08 060,Santa Bárbara,2022,Febrero,1,1,,
08 060,Santa Bárbara,2022,Marzo,1,,1,
08 060,Santa Bárbara,2022,Mayo,1,1,,
08 060,Santa Bárbara,2022,Septiembre,1,1,,
08 061,Satevó,Total,Total,3,2,1,
08 061,Satevó,Total,Junio,1,1,,
08 061,Satevó,Total,Julio,1,1,,
08 061,Satevó,Total,Diciembre,1,,1,
08 061,Satevó,2022,Total,3,2,1,
08 061,Satevó,2022,Junio,1,1,,
08 061,Satevó,2022,Julio,1,1,,
08 061,Satevó,2022,Diciembre,1,,1,
08 062,Saucillo,Total,Total,8,8,,
08 062,Saucillo,Total,Enero,1,1,,
08 062,Saucillo,Total,Marzo,1,1,,
08 062,Saucillo,Total,Mayo,1,1,,
08 062,Saucillo,Total,Junio,2,2,,
08 062,Saucillo,Total,Julio,1,1,,
08 062,Saucillo,Total,Agosto,1,1,,
08 062,Saucillo,Total,Septiembre,1,1,,
08 062,Saucillo,2022,Total,8,8,,
08 062,Saucillo,2022,Enero,1,1,,
08 062,Saucillo,2022,Marzo,1,1,,
08 062,Saucillo,2022,Mayo,1,1,,
08 062,Saucillo,2022,Junio,2,2,,
08 062,Saucillo,2022,Julio,1,1,,
08 062,Saucillo,2022,Agosto,1,1,,
08 062,Saucillo,2022,Septiembre,1,1,,
08 064,El Tule,Total,Total,2,2,,
08 064,El Tule,Total,Noviembre,1,1,,
08 064,El Tule,Total,Diciembre,1,1,,
08 064,El Tule,2022,Total,2,2,,
08 064,El Tule,2022,Noviembre,1,1,,
08 064,El Tule,2022,Diciembre,1,1,,
08 065,Urique,Total,Total,16,13,2,1
08 065,Urique,Total,Enero,3,3,,
08 065,Urique,Total,Febrero,1,1,,
08 065,Urique,Total,Marzo,1,1,,
08 065,Urique,Total,Mayo,1,1,,
08 065,Urique,Total,Junio,5,5,,
08 065,Urique,Total,Julio,2,,1,1
08 065,Urique,Total,Noviembre,1,1,,
08 065,Urique,Total,Diciembre,2,1,1,
08 065,Urique,2022,Total,16,13,2,1
08 065,Urique,2022,Enero,3,3,,
08 065,Urique,2022,Febrero,1,1,,
08 065,Urique,2022,Marzo,1,1,,
08 065,Urique,2022,Mayo,1,1,,
08 065,Urique,2022,Junio,5,5,,
08 065,Urique,2022,Julio,2,,1,1
08 065,Urique,2022,Noviembre,1,1,,
08 065,Urique,2022,Diciembre,2,1,1,
08 066,Uruachi,Total,Total,2,2,,
08 066,Uruachi,Total,Mayo,1,1,,
08 066,Uruachi,Total,Julio,1,1,,
08 066,Uruachi,2022,Total,2,2,,
08 066,Uruachi,2022,Mayo,1,1,,
08 066,Uruachi,2022,Julio,1,1,,
08 067,Valle de Zaragoza,Total,Total,3,3,,
08 067,Valle de Zaragoza,Total,Junio,2,2,,
08 067,Valle de Zaragoza,Total,Diciembre,1,1,,
08 067,Valle de Zaragoza,2022,Total,3,3,,
08 067,Valle de Zaragoza,2022,Junio,2,2,,
08 067,Valle de Zaragoza,2022,Diciembre,1,1,,
08 999,No especificado,Total,Total,29,28,,1
08 999,No especificado,Total,Febrero,2,2,,
08 999,No especificado,Total,Marzo,2,2,,
08 999,No especificado,Total,Abril,4,4,,
08 999,No especificado,Total,Mayo,4,4,,
08 999,No especificado,Total,Junio,4,4,,
08 999,No especificado,Total,Julio,1,1,,
08 999,No especificado,Total,Agosto,2,2,,
08 999,No especificado,Total,Septiembre,4,4,,
08 999,No especificado,Total,Octubre,1,1,,
08 999,No especificado,Total,Noviembre,4,3,,1
08 999,No especificado,Total,Diciembre,1,1,,
08 999,No especificado,2022,Total,29,28,,1
08 999,No especificado,2022,Febrero,2,2,,
08 999,No especificado,2022,Marzo,2,2,,
08 999,No especificado,2022,Abril,4,4,,
08 999,No especificado,2022,Mayo,4,4,,
08 999,No especificado,2022,Junio,4,4,,
08 999,No especificado,2022,Julio,1,1,,
08 999,No especificado,2022,Agosto,2,2,,
08 999,No especificado,2022,Septiembre,4,4,,
08 999,No especificado,2022,Octubre,1,1,,
08 999,No especificado,2022,Noviembre,4,3,,1
08 999,No especificado,2022,Diciembre,1,1,,
9,Ciudad de México,Total,Total,742,635,107,
9,Ciudad de México,Total,Enero,71,59,12,
9,Ciudad de México,Total,Febrero,47,42,5,
9,Ciudad de México,Total,Marzo,59,48,11,
9,Ciudad de México,Total,Abril,51,46,5,
9,Ciudad de México,Total,Mayo,66,57,9,
9,Ciudad de México,Total,Junio,45,36,9,
9,Ciudad de México,Total,Julio,58,50,8,
9,Ciudad de México,Total,Agosto,57,52,5,
9,Ciudad de México,Total,Septiembre,63,51,12,
9,Ciudad de México,Total,Octubre,62,49,13,
9,Ciudad de México,Total,Noviembre,79,70,9,
9,Ciudad de México,Total,Diciembre,84,75,9,
9,Ciudad de México,2021,Total,2,,2,
9,Ciudad de México,2021,Junio,1,,1,
9,Ciudad de México,2021,Agosto,1,,1,
9,Ciudad de México,2022,Total,740,635,105,
9,Ciudad de México,2022,Enero,71,59,12,
9,Ciudad de México,2022,Febrero,47,42,5,
9,Ciudad de México,2022,Marzo,59,48,11,
9,Ciudad de México,2022,Abril,51,46,5,
9,Ciudad de México,2022,Mayo,66,57,9,
9,Ciudad de México,2022,Junio,44,36,8,
9,Ciudad de México,2022,Julio,58,50,8,
9,Ciudad de México,2022,Agosto,56,52,4,
9,Ciudad de México,2022,Septiembre,63,51,12,
9,Ciudad de México,2022,Octubre,62,49,13,
9,Ciudad de México,2022,Noviembre,79,70,9,
9,Ciudad de México,2022,Diciembre,84,75,9,
09 002,Azcapotzalco,Total,Total,22,19,3,
09 002,Azcapotzalco,Total,Enero,6,5,1,
09 002,Azcapotzalco,Total,Febrero,5,4,1,
09 002,Azcapotzalco,Total,Abril,3,3,,
09 002,Azcapotzalco,Total,Junio,3,2,1,
09 002,Azcapotzalco,Total,Septiembre,1,1,,
09 002,Azcapotzalco,Total,Octubre,2,2,,
09 002,Azcapotzalco,Total,Noviembre,1,1,,
09 002,Azcapotzalco,Total,Diciembre,1,1,,
09 002,Azcapotzalco,2022,Total,22,19,3,
09 002,Azcapotzalco,2022,Enero,6,5,1,
09 002,Azcapotzalco,2022,Febrero,5,4,1,
09 002,Azcapotzalco,2022,Abril,3,3,,
09 002,Azcapotzalco,2022,Junio,3,2,1,
09 002,Azcapotzalco,2022,Septiembre,1,1,,
09 002,Azcapotzalco,2022,Octubre,2,2,,
09 002,Azcapotzalco,2022,Noviembre,1,1,,
09 002,Azcapotzalco,2022,Diciembre,1,1,,
09 003,Coyoacán,Total,Total,16,13,3,
09 003,Coyoacán,Total,Febrero,2,2,,
09 003,Coyoacán,Total,Marzo,1,1,,
09 003,Coyoacán,Total,Abril,1,1,,
09 003,Coyoacán,Total,Junio,2,2,,
09 003,Coyoacán,Total,Julio,1,,1,
09 003,Coyoacán,Total,Septiembre,2,1,1,
09 003,Coyoacán,Total,Octubre,3,3,,
09 003,Coyoacán,Total,Diciembre,4,3,1,
09 003,Coyoacán,2022,Total,16,13,3,
09 003,Coyoacán,2022,Febrero,2,2,,
09 003,Coyoacán,2022,Marzo,1,1,,
09 003,Coyoacán,2022,Abril,1,1,,
09 003,Coyoacán,2022,Junio,2,2,,
09 003,Coyoacán,2022,Julio,1,,1,
09 003,Coyoacán,2022,Septiembre,2,1,1,
09 003,Coyoacán,2022,Octubre,3,3,,
09 003,Coyoacán,2022,Diciembre,4,3,1,
09 004,Cuajimalpa de Morelos,Total,Total,3,2,1,
09 004,Cuajimalpa de Morelos,Total,Junio,1,1,,
09 004,Cuajimalpa de Morelos,Total,Septiembre,1,1,,
09 004,Cuajimalpa de Morelos,Total,Diciembre,1,,1,
09 004,Cuajimalpa de Morelos,2022,Total,3,2,1,
09 004,Cuajimalpa de Morelos,2022,Junio,1,1,,
09 004,Cuajimalpa de Morelos,2022,Septiembre,1,1,,
09 004,Cuajimalpa de Morelos,2022,Diciembre,1,,1,
09 005,Gustavo A. Madero,Total,Total,147,127,20,
09 005,Gustavo A. Madero,Total,Enero,19,16,3,
09 005,Gustavo A. Madero,Total,Febrero,6,6,,
09 005,Gustavo A. Madero,Total,Marzo,11,10,1,
09 005,Gustavo A. Madero,Total,Abril,14,13,1,
09 005,Gustavo A. Madero,Total,Mayo,17,14,3,
09 005,Gustavo A. Madero,Total,Junio,10,9,1,
09 005,Gustavo A. Madero,Total,Julio,11,10,1,
09 005,Gustavo A. Madero,Total,Agosto,11,9,2,
09 005,Gustavo A. Madero,Total,Septiembre,14,8,6,
09 005,Gustavo A. Madero,Total,Octubre,4,4,,
09 005,Gustavo A. Madero,Total,Noviembre,15,14,1,
09 005,Gustavo A. Madero,Total,Diciembre,15,14,1,
09 005,Gustavo A. Madero,2021,Total,1,,1,
09 005,Gustavo A. Madero,2021,Agosto,1,,1,
09 005,Gustavo A. Madero,2022,Total,146,127,19,
09 005,Gustavo A. Madero,2022,Enero,19,16,3,
09 005,Gustavo A. Madero,2022,Febrero,6,6,,
09 005,Gustavo A. Madero,2022,Marzo,11,10,1,
09 005,Gustavo A. Madero,2022,Abril,14,13,1,
09 005,Gustavo A. Madero,2022,Mayo,17,14,3,
09 005,Gustavo A. Madero,2022,Junio,10,9,1,
09 005,Gustavo A. Madero,2022,Julio,11,10,1,
09 005,Gustavo A. Madero,2022,Agosto,10,9,1,
09 005,Gustavo A. Madero,2022,Septiembre,14,8,6,
09 005,Gustavo A. Madero,2022,Octubre,4,4,,
09 005,Gustavo A. Madero,2022,Noviembre,15,14,1,
09 005,Gustavo A. Madero,2022,Diciembre,15,14,1,
09 006,Iztacalco,Total,Total,21,18,3,
09 006,Iztacalco,Total,Enero,4,3,1,
09 006,Iztacalco,Total,Febrero,2,1,1,
09 006,Iztacalco,Total,Marzo,1,1,,
09 006,Iztacalco,Total,Mayo,3,3,,
09 006,Iztacalco,Total,Julio,3,3,,
09 006,Iztacalco,Total,Agosto,1,,1,
09 006,Iztacalco,Total,Septiembre,2,2,,
09 006,Iztacalco,Total,Octubre,2,2,,
09 006,Iztacalco,Total,Noviembre,2,2,,
09 006,Iztacalco,Total,Diciembre,1,1,,
09 006,Iztacalco,2022,Total,21,18,3,
09 006,Iztacalco,2022,Enero,4,3,1,
09 006,Iztacalco,2022,Febrero,2,1,1,
09 006,Iztacalco,2022,Marzo,1,1,,
09 006,Iztacalco,2022,Mayo,3,3,,
09 006,Iztacalco,2022,Julio,3,3,,
09 006,Iztacalco,2022,Agosto,1,,1,
09 006,Iztacalco,2022,Septiembre,2,2,,
09 006,Iztacalco,2022,Octubre,2,2,,
09 006,Iztacalco,2022,Noviembre,2,2,,
09 006,Iztacalco,2022,Diciembre,1,1,,
09 007,Iztapalapa,Total,Total,134,117,17,
09 007,Iztapalapa,Total,Enero,9,9,,
09 007,Iztapalapa,Total,Febrero,13,11,2,
09 007,Iztapalapa,Total,Marzo,6,4,2,
09 007,Iztapalapa,Total,Abril,10,9,1,
09 007,Iztapalapa,Total,Mayo,10,10,,
09 007,Iztapalapa,Total,Junio,8,6,2,
09 007,Iztapalapa,Total,Julio,9,9,,
09 007,Iztapalapa,Total,Agosto,13,13,,
09 007,Iztapalapa,Total,Septiembre,16,15,1,
09 007,Iztapalapa,Total,Octubre,11,8,3,
09 007,Iztapalapa,Total,Noviembre,14,9,5,
09 007,Iztapalapa,Total,Diciembre,15,14,1,
09 007,Iztapalapa,2022,Total,134,117,17,
09 007,Iztapalapa,2022,Enero,9,9,,
09 007,Iztapalapa,2022,Febrero,13,11,2,
09 007,Iztapalapa,2022,Marzo,6,4,2,
09 007,Iztapalapa,2022,Abril,10,9,1,
09 007,Iztapalapa,2022,Mayo,10,10,,
09 007,Iztapalapa,2022,Junio,8,6,2,
09 007,Iztapalapa,2022,Julio,9,9,,
09 007,Iztapalapa,2022,Agosto,13,13,,
09 007,Iztapalapa,2022,Septiembre,16,15,1,
09 007,Iztapalapa,2022,Octubre,11,8,3,
09 007,Iztapalapa,2022,Noviembre,14,9,5,
09 007,Iztapalapa,2022,Diciembre,15,14,1,
09 008,La Magdalena Contreras,Total,Total,7,7,,
09 008,La Magdalena Contreras,Total,Enero,1,1,,
09 008,La Magdalena Contreras,Total,Abril,1,1,,
09 008,La Magdalena Contreras,Total,Mayo,3,3,,
09 008,La Magdalena Contreras,Total,Octubre,1,1,,
09 008,La Magdalena Contreras,Total,Noviembre,1,1,,
09 008,La Magdalena Contreras,2022,Total,7,7,,
09 008,La Magdalena Contreras,2022,Enero,1,1,,
09 008,La Magdalena Contreras,2022,Abril,1,1,,
09 008,La Magdalena Contreras,2022,Mayo,3,3,,
09 008,La Magdalena Contreras,2022,Octubre,1,1,,
09 008,La Magdalena Contreras,2022,Noviembre,1,1,,
09 009,Milpa Alta,Total,Total,15,10,5,
09 009,Milpa Alta,Total,Enero,2,2,,
09 009,Milpa Alta,Total,Marzo,1,,1,
09 009,Milpa Alta,Total,Abril,1,1,,
09 009,Milpa Alta,Total,Mayo,1,1,,
09 009,Milpa Alta,Total,Julio,1,1,,
09 009,Milpa Alta,Total,Agosto,1,1,,
09 009,Milpa Alta,Total,Septiembre,1,1,,
09 009,Milpa Alta,Total,Octubre,7,3,4,
09 009,Milpa Alta,2022,Total,15,10,5,
09 009,Milpa Alta,2022,Enero,2,2,,
09 009,Milpa Alta,2022,Marzo,1,,1,
09 009,Milpa Alta,2022,Abril,1,1,,
09 009,Milpa Alta,2022,Mayo,1,1,,
09 009,Milpa Alta,2022,Julio,1,1,,
09 009,Milpa Alta,2022,Agosto,1,1,,
09 009,Milpa Alta,2022,Septiembre,1,1,,
09 009,Milpa Alta,2022,Octubre,7,3,4,
09 010,Álvaro Obregón,Total,Total,56,49,7,
09 010,Álvaro Obregón,Total,Enero,4,4,,
09 010,Álvaro Obregón,Total,Febrero,4,4,,
09 010,Álvaro Obregón,Total,Marzo,4,2,2,
09 010,Álvaro Obregón,Total,Abril,3,3,,
09 010,Álvaro Obregón,Total,Mayo,5,4,1,
09 010,Álvaro Obregón,Total,Junio,3,2,1,
09 010,Álvaro Obregón,Total,Julio,6,6,,
09 010,Álvaro Obregón,Total,Agosto,5,5,,
09 010,Álvaro Obregón,Total,Septiembre,5,3,2,
09 010,Álvaro Obregón,Total,Octubre,3,3,,
09 010,Álvaro Obregón,Total,Noviembre,5,5,,
09 010,Álvaro Obregón,Total,Diciembre,9,8,1,
09 010,Álvaro Obregón,2022,Total,56,49,7,
09 010,Álvaro Obregón,2022,Enero,4,4,,
09 010,Álvaro Obregón,2022,Febrero,4,4,,
09 010,Álvaro Obregón,2022,Marzo,4,2,2,
09 010,Álvaro Obregón,2022,Abril,3,3,,
09 010,Álvaro Obregón,2022,Mayo,5,4,1,
09 010,Álvaro Obregón,2022,Junio,3,2,1,
09 010,Álvaro Obregón,2022,Julio,6,6,,
09 010,Álvaro Obregón,2022,Agosto,5,5,,
09 010,Álvaro Obregón,2022,Septiembre,5,3,2,
09 010,Álvaro Obregón,2022,Octubre,3,3,,
09 010,Álvaro Obregón,2022,Noviembre,5,5,,
09 010,Álvaro Obregón,2022,Diciembre,9,8,1,
09 011,Tláhuac,Total,Total,38,33,5,
09 011,Tláhuac,Total,Febrero,3,3,,
09 011,Tláhuac,Total,Marzo,3,3,,
09 011,Tláhuac,Total,Abril,5,5,,
09 011,Tláhuac,Total,Mayo,4,3,1,
09 011,Tláhuac,Total,Junio,2,2,,
09 011,Tláhuac,Total,Julio,2,2,,
09 011,Tláhuac,Total,Agosto,2,1,1,
09 011,Tláhuac,Total,Septiembre,2,2,,
09 011,Tláhuac,Total,Octubre,6,4,2,
09 011,Tláhuac,Total,Noviembre,6,5,1,
09 011,Tláhuac,Total,Diciembre,3,3,,
09 011,Tláhuac,2022,Total,38,33,5,
09 011,Tláhuac,2022,Febrero,3,3,,
09 011,Tláhuac,2022,Marzo,3,3,,
09 011,Tláhuac,2022,Abril,5,5,,
09 011,Tláhuac,2022,Mayo,4,3,1,
09 011,Tláhuac,2022,Junio,2,2,,
09 011,Tláhuac,2022,Julio,2,2,,
09 011,Tláhuac,2022,Agosto,2,1,1,
09 011,Tláhuac,2022,Septiembre,2,2,,
09 011,Tláhuac,2022,Octubre,6,4,2,
09 011,Tláhuac,2022,Noviembre,6,5,1,
09 011,Tláhuac,2022,Diciembre,3,3,,
09 012,Tlalpan,Total,Total,37,26,11,
09 012,Tlalpan,Total,Enero,3,2,1,
09 012,Tlalpan,Total,Febrero,3,2,1,
09 012,Tlalpan,Total,Marzo,1,,1,
09 012,Tlalpan,Total,Mayo,6,5,1,
09 012,Tlalpan,Total,Junio,2,1,1,
09 012,Tlalpan,Total,Julio,1,,1,
09 012,Tlalpan,Total,Agosto,4,4,,
09 012,Tlalpan,Total,Septiembre,1,1,,
09 012,Tlalpan,Total,Octubre,3,1,2,
09 012,Tlalpan,Total,Noviembre,5,4,1,
09 012,Tlalpan,Total,Diciembre,8,6,2,
09 012,Tlalpan,2021,Total,1,,1,
09 012,Tlalpan,2021,Junio,1,,1,
09 012,Tlalpan,2022,Total,36,26,10,
09 012,Tlalpan,2022,Enero,3,2,1,
09 012,Tlalpan,2022,Febrero,3,2,1,
09 012,Tlalpan,2022,Marzo,1,,1,
09 012,Tlalpan,2022,Mayo,6,5,1,
09 012,Tlalpan,2022,Junio,1,1,,
09 012,Tlalpan,2022,Julio,1,,1,
09 012,Tlalpan,2022,Agosto,4,4,,
